$a_{AS}$,$a_{BS}$,$\chi_{AS}$,$\chi_{BS}$,$phase$
25.0,58.0,0.0,0.0,Y
27.0,51.0,0.6,0.6,Y
25.0,45.0,0.0,0.0,Y
19.0,41.0,-1.8,-1.8,N
30.0,56.0,1.5,1.5,N
24.0,73.0,-0.3,-0.3,Y
22.0,60.0,-0.9,-0.9,Y
22.0,49.0,-0.9,-0.9,N
19.0,59.0,-1.8,-1.8,N
26.0,40.0,0.3,0.3,Y
30.0,47.0,1.5,1.5,N
22.0,41.0,-0.9,-0.9,N
10.0,40.0,-4.5,-4.5,N
21.0,74.0,-1.2,-1.2,N
26.0,77.0,0.3,0.3,Y
22.0,54.0,-0.9,-0.9,Y
28.0,58.0,0.9,0.9,Y
22.0,69.0,-0.9,-0.9,Y
29.0,61.0,1.2,1.2,N
29.0,52.0,1.2,1.2,N
28.0,79.0,0.9,0.9,N
28.0,44.0,0.9,0.9,Y
21.0,64.0,-1.2,-1.2,N
24.0,80.0,-0.3,-0.3,Y
23.0,77.0,-0.6,-0.6,Y
20.0,56.0,-1.5,-1.5,N
28.0,62.0,0.9,0.9,Y
27.0,74.0,0.6,0.6,Y
24.0,40.0,-0.3,-0.3,N
10.0,58.0,-4.5,-4.5,N
20.0,69.0,-1.5,-1.5,N
24.0,48.0,-0.3,-0.3,Y
28.0,53.0,0.9,0.9,Y
22.0,65.0,-0.9,-0.9,Y
29.0,43.0,1.2,1.2,N
24.0,45.0,-0.3,-0.3,Y
22.0,46.0,-0.9,-0.9,N
26.0,80.0,0.3,0.3,Y
28.0,48.0,0.9,0.9,Y
21.0,52.0,-1.2,-1.2,N
21.0,58.0,-1.2,-1.2,N
15.0,55.0,-3.0,-3.0,N
