$a_{AS}$,$a_{BS}$,$\chi_{AS}$,$\chi_{BS}$,$phase$
10.0,75.0,-4.5,15.0,N
19.0,52.0,-1.7999999999999998,8.1,N
33.0,45.0,2.4,6.0,N
35.0,78.0,3.0,15.899999999999999,N
20.0,66.0,-1.5,12.299999999999999,N
35.0,60.0,3.0,10.5,N
35.0,40.0,3.0,4.5,N
35.0,50.0,3.0,7.5,N
35.0,70.0,3.0,13.5,N
29.0,40.0,1.2,4.5,N
32.0,69.0,2.1,13.2,N
30.0,79.0,1.5,16.2,N
21.0,80.0,-1.2,16.5,N
33.0,74.0,2.4,14.7,N
34.0,67.0,2.6999999999999997,12.6,N
29.0,72.0,1.2,14.1,N
29.0,68.0,1.2,12.9,N
30.0,72.0,1.5,14.1,N
35.0,73.0,3.0,14.399999999999999,N
31.0,74.0,1.7999999999999998,14.7,N
30.0,70.0,1.5,13.5,N
33.0,71.0,2.4,13.799999999999999,N
29.0,65.0,1.2,12.0,N
27.0,67.0,0.6,12.6,Y
26.0,67.0,0.3,12.6,Y
27.0,66.0,0.6,12.299999999999999,Y
27.0,68.0,0.6,12.9,N
28.0,67.0,0.8999999999999999,12.6,N
31.0,66.0,1.7999999999999998,12.299999999999999,N
32.0,78.0,2.1,15.899999999999999,N
29.0,76.0,1.2,15.299999999999999,N
35.0,46.0,3.0,6.3,N
33.0,49.0,2.4,7.199999999999999,N
32.0,41.0,2.1,4.8,N
30.0,44.0,1.5,5.7,N
31.0,47.0,1.7999999999999998,6.6,N
28.0,44.0,0.8999999999999999,5.7,Y
28.0,46.0,0.8999999999999999,6.3,Y
27.0,46.0,0.6,6.3,Y
27.0,47.0,0.6,6.6,Y
28.0,47.0,0.8999999999999999,6.6,Y
28.0,49.0,0.8999999999999999,7.199999999999999,Y
26.0,47.0,0.3,6.6,Y
27.0,48.0,0.6,6.8999999999999995,Y
29.0,48.0,1.2,6.8999999999999995,N
26.0,45.0,0.3,6.0,N
28.0,51.0,0.8999999999999999,7.8,Y
28.0,52.0,0.8999999999999999,8.1,Y
29.0,51.0,1.2,7.8,N
27.0,51.0,0.6,7.8,Y
27.0,52.0,0.6,8.1,Y
26.0,51.0,0.3,7.8,Y
26.0,52.0,0.3,8.1,Y
25.0,52.0,0.0,8.1,Y
25.0,54.0,0.0,8.7,Y
25.0,50.0,0.0,7.5,Y
24.0,50.0,-0.3,7.5,Y
