$structure$,$label$
c0.03d0.5n7l5aps26-1.pdb,N
c0.05d1n11l4aps26-1.pdb,N
c0.04d0.5n7l5aps26-1.pdb,N
c0.05d1n12l5aps30-1.pdb,N
c0.045d1n12l3aps23-1.pdb,N
c0.04d0.85n12l4aps27-1.pdb,N
c0.045d1n12l4aps25-1.pdb,N
c0.04d1n11l4aps26-1.pdb,N
c0.01d1n3l1aps30-1.pdb,N
c0.045d0.75n12l4aps26-1.pdb,N
c0.05d0.9n12l4aps25-1.pdb,N
c0.05d0.85n12l4aps26-1.pdb,N
c0.05d0.9n10l4aps23-1.pdb,Y
c0.05d0.9n9l4aps21-1.pdb,Y
c0.04d0.5n10l4aps27-1.pdb,Y
c0.05d0.9n8l4aps18-1.pdb,N
c0.05d0.9n8l4aps22-1.pdb,Y
c0.045d0.85n9l4aps21-1.pdb,Y
c0.05d0.8n9l4aps21-1.pdb,Y
c0.045d0.95n8l4aps22-1.pdb,Y
c0.035d0.5n10l4aps26-1.pdb,Y
c0.01d0.1n9l1aps15-1.pdb,N
c0.05d0.1n4l1aps30-1.pdb,N
c0.01d0.1n12l2aps30-1.pdb,N
c0.05d1n3l2aps29-1.pdb,N
c0.02d0.15n12l5aps30-1.pdb,N
c0.04d0.3n10l3aps20-1.pdb,N
c0.025d0.7n8l2aps24-1.pdb,N
c0.025d0.7n8l3aps24-1.pdb,N
c0.04d0.1n9l4aps30-1.pdb,N
c0.04d0.45n8l3aps28-1.pdb,N
c0.05d1n11l5aps19-1.pdb,Y
c0.045d0.9n8l3aps26-1.pdb,Y
c0.05d1n5l5aps27-1.pdb,Y
c0.045d0.95n5l5aps22-1.pdb,N
c0.05d1n8l1aps27-1.pdb,N
c0.025d1n12l5aps15-1.pdb,Y
c0.03d1n3l5aps30-1.pdb,N
c0.01d0.35n12l5aps15-1.pdb,N
c0.01d1n12l3aps15-1.pdb,N
c0.035d0.45n10l4aps28-1.pdb,Y
c0.035d0.5n10l3aps27-1.pdb,Y
c0.035d0.55n10l4aps28-1.pdb,Y
c0.035d0.45n11l4aps27-1.pdb,Y
c0.045d0.95n9l4aps21-1.pdb,Y
c0.045d0.85n8l3aps22-1.pdb,N
c0.045d0.9n9l5aps21-1.pdb,N
c0.045d0.9n9l4aps22-1.pdb,Y
c0.05d1n8l4aps22-1.pdb,Y
c0.045d0.9n8l4aps21-1.pdb,N
c0.045d1n8l4aps23-1.pdb,Y
c0.045d0.85n10l4aps21-1.pdb,Y
c0.035d0.5n10l4aps27-1.pdb,Y
c0.045d0.95n8l4aps23-1.pdb,Y
c0.045d1n9l4aps22-1.pdb,Y
c0.045d1n8l4aps22-1.pdb,Y
c0.05d0.9n9l4aps22-1.pdb,Y
c0.035d0.55n11l4aps27-1.pdb,Y
c0.045d0.95n10l4aps21-1.pdb,Y
c0.05d0.95n8l4aps23-1.pdb,Y
c0.045d0.9n10l4aps20-1.pdb,Y
c0.04d0.45n11l4aps27-1.pdb,Y
c0.035d0.4n10l4aps26-1.pdb,Y
c0.04d0.45n10l4aps28-1.pdb,Y
c0.05d0.95n9l4aps22-1.pdb,Y
c0.04d0.55n10l4aps28-1.pdb,Y
c0.045d0.95n9l4aps22-1.pdb,Y
c0.045d0.85n9l4aps22-1.pdb,Y
c0.045d0.9n9l4aps21-1.pdb,Y
c0.05d0.85n10l4aps21-1.pdb,Y
c0.035d0.5n11l4aps28-1.pdb,Y
c0.045d1n9l4aps21-1.pdb,Y
c0.035d0.45n10l4aps27-1.pdb,Y
c0.035d0.5n10l4aps29-1.pdb,Y
c0.035d0.55n10l4aps27-1.pdb,Y
c0.04d0.55n11l4aps27-1.pdb,Y
c0.04d0.45n10l4aps26-1.pdb,Y
c0.035d0.5n11l4aps29-1.pdb,Y
c0.04d0.5n10l4aps28-1.pdb,Y
c0.04d0.5n11l4aps28-1.pdb,Y
c0.05d0.9n10l4aps21-1.pdb,Y
c0.045d0.8n9l4aps22-1.pdb,Y
c0.035d0.45n10l4aps29-1.pdb,Y
c0.035d0.5n10l4aps28-1.pdb,Y
c0.045d0.8n9l4aps20-1.pdb,Y
c0.04d0.55n10l4aps26-1.pdb,Y
c0.045d0.75n9l4aps21-1.pdb,N
c0.03d0.35n12l1aps26-1.pdb,N
c0.025d0.7n11l4aps17-1.pdb,N
c0.05d0.6n12l2aps30-1.pdb,N
c0.05d0.45n12l5aps15-1.pdb,N
c0.015d0.7n12l4aps29-1.pdb,N
c0.03d0.95n8l3aps30-1.pdb,Y
c0.01d1n7l4aps30-1.pdb,N
c0.015d1n9l2aps30-1.pdb,N
c0.03d1n4l3aps27-1.pdb,N
c0.05d0.2n12l5aps28-1.pdb,N
c0.01d0.1n3l5aps15-1.pdb,N
c0.01d1n11l5aps20-1.pdb,N
c0.05d0.1n3l1aps15-1.pdb,N
