class,structure,Pv
multidomains,m2n2_15_30_50-113-multidom.pdb,0.03
multidomains,m2n5_15_30_32-148-multidom.pdb,0.0
multidomains,m7n2_15_30_50-96-multidom_far_.pdb,0.0
multidomains,m5n2_15_30_50-116-multidom.pdb,0.0
multidomains,m2n2_15_30_40-66-multidom.pdb,0.04
multidomains,m2n2_15_30_40-138-multidom.pdb,0.0
multidomains,m5n2_15_30_50-86-multidom.pdb,0.0
micelles,m2n2_15_30_100-10-micelle.pdb,0.24085714
onions,m1n3_15_30_50-23-oni.pdb,0.02
micelles,m5n2_15_30_100-27-micelle.pdb,0.0
multidomains,m2n3_15_30_40-10-wormdom.pdb,0.05436142
multidomains,m2n2_15_30_50-83-multidom.pdb,0.06294872
onions,m1n3_15_30_50-58-oni.pdb,0.0
multidomains,m7n2_15_30_50-7-multidom_far_.pdb,0.0
multidomains,m2n2_15_30_50-21-multidom.pdb,0.06294872
multidomains,m2n4_15_30_32-10-multidom.pdb,0.0
multidomains,m7n2_15_30_50-144-multidom_far_.pdb,0.0
multidomains,m2n2_15_30_40-33-multidom.pdb,0.13848422
multidomains,m7n2_15_30_50-3-multidom_far_.pdb,0.0
multidomains,m5n2_15_30_50-144-multidom.pdb,0.0
multidomains,m2n2_15_30_40-4-multidom.pdb,0.0
multidomains,m2n5_15_30_35-85-multidom.pdb,0.07928571
multidomains,m2n2_15_30_40-159-multidom.pdb,0.12929375
multidomains,m2n3_15_30_35-100-multidom.pdb,0.0
multidomains,m2n4_15_30_32-134-multidom.pdb,0.0
multidomains,m2n2_15_30_40-92-multidom.pdb,0.0
multidomains,m2n2_15_30_50-117-multidom.pdb,0.03
multidomains,m2n3_15_30_45-75-multidom_wormcoiled_.pdb,0.0
multidomains,m2n5_15_30_32-131-multidom.pdb,0.01350427
multidomains,m2n2_15_30_50-8-multidom.pdb,0.07350427
multidomains,m2n4_15_30_32-6-multidom.pdb,0.0
multidomains,m2n3_15_30_45-44-multidom_wormcoiled_.pdb,0.0
cylinders,m2n5_15_30_40-8-cylinder_short.pdb,0.0
multidomains,m2n3_15_30_45-150-multidom_wormcoiled_.pdb,0.05461538
cylinders,m2n5_15_30_40-3-cylinder_short.pdb,0.05
multidomains,m2n3_15_30_45-17-multidom_wormcoiled_.pdb,0.0
multidomains,m5n2_15_30_50-146-multidom.pdb,0.0
onions,m1n3_15_30_50-11-oni.pdb,0.34353022
onions,m1n3_15_30_50-74-oni.pdb,0.04192308
multidomains,m2n3_15_30_45-63-multidom_wormcoiled_.pdb,0.02
multidomains,m2n4_15_30_32-109-multidom.pdb,0.0
multidomains,m2n3_15_30_35-18-multidom.pdb,0.03
multidomains,m2n5_15_30_32-64-multidom.pdb,0.08183761
multidomains,m2n2_15_30_40-96-multidom.pdb,0.0
multidomains,m2n2_15_30_40-41-multidom.pdb,0.06
multidomains,m2n3_15_30_45-93-multidom_wormcoiled_.pdb,0.05
multidomains,m7n2_15_30_50-17-multidom_far_.pdb,0.0
multidomains,m2n3_15_30_35-81-multidom.pdb,0.03
multidomains,m5n2_15_30_50-30-multidom.pdb,0.0
multidomains,m7n2_15_30_50-90-multidom_far_.pdb,0.0
onions,m1n3_15_30_50-36-oni.pdb,0.02
multidomains,m2n2_15_30_50-124-multidom.pdb,0.08183761
multidomains,m2n3_15_30_45-15-multidom_wormcoiled_.pdb,0.05
multidomains,m2n5_15_30_32-13-multidom.pdb,0.07350427
multidomains,m5n2_15_30_50-61-multidom.pdb,0.0
multidomains,m2n5_15_30_32-122-multidom.pdb,0.05
multidomains,m2n2_15_30_40-21-multidom.pdb,0.0
multidomains,m2n3_15_30_45-137-multidom_wormcoiled_.pdb,0.0
multidomains,m2n2_15_30_50-89-multidom.pdb,0.05833333
multidomains,m2n2_15_30_50-82-multidom.pdb,0.06294872
multidomains,m2n4_15_30_32-50-multidom.pdb,0.0
multidomains,m5n2_15_30_50-103-multidom.pdb,0.0
multidomains,m7n2_15_30_50-10-multidom_far_.pdb,0.0
multidomains,m2n3_15_30_45-88-multidom_wormcoiled_.pdb,0.01
micelles,m2n3_15_30_50-12-micelle.pdb,0.03
multidomains,m2n5_15_30_35-36-multidom.pdb,0.27085714
multidomains,m5n2_15_30_50-45-multidom.pdb,0.0
multidomains,m2n5_15_30_35-18-multidom.pdb,0.02929375
multidomains,m2n3_15_30_35-95-multidom.pdb,0.03
multidomains,m2n3_15_30_45-112-multidom_wormcoiled_.pdb,0.05461538
multidomains,m7n2_15_30_50-28-multidom_far_.pdb,0.0
multidomains,m2n5_15_30_32-124-multidom.pdb,0.0
multidomains,m2n4_15_30_32-39-multidom.pdb,0.0
multidomains,m2n2_15_30_50-19-multidom.pdb,0.06294872
micelles,m5n2_15_30_100-25-micelle.pdb,0.0
multidomains,m2n3_15_30_45-9-multidom.pdb,0.02
multidomains,m2n5_15_30_35-41-multidom.pdb,0.23553551
multidomains,m2n3_15_30_35-34-multidom.pdb,0.04
multidomains,m5n2_15_30_50-97-multidom.pdb,0.0
multidomains,m7n2_15_30_50-52-multidom_far_.pdb,0.0
multidomains,m2n4_15_30_32-74-multidom.pdb,0.0
multidomains,m2n1_15_30_100-1-multidom.pdb,0.0
multidomains,m7n2_15_30_50-60-multidom_far_.pdb,0.0
multidomains,m2n5_15_30_32-28-multidom.pdb,0.05
multidomains,m2n3_15_30_45-136-multidom_wormcoiled_.pdb,0.0
multidomains,m7n2_15_30_50-64-multidom_far_.pdb,0.0
